# 372.4565534072015
54,-54,31
-10,62,17
-44,-50,14
-26,-42,47
15,52,-54
-10,36,41
-34,17,0
-42,-19,22
-18,34,26
-52,-35,-4
-17,-34,19
-33,38,48
-2,24,60
-25,-10,49
8,-30,51
-34,-30,44
15,38,71
-50,-64,11
-37,-26,20
-13,-5,-3
47,-11,40
72,-5,-25
-15,3,1
-14,-63,-48
51,20,0
-32,24,20
65,47,18
66,-23,-6
-39,47,28
-33,-17,-19
40,-59,-30
-50,29,39
-30,-52,7
29,-54,-25
-49,-15,-72
14,-41,-36
-26,-33,38
-26,-1,-53
-12,18,19
55,-3,30
-26,-46,9
22,6,57
69,59,54
35,49,-14
-25,38,9
21,13,22
-45,59,-55
-58,-11,-18
-36,29,24
-21,18,-12
11,61,14
-36,0,-14
-45,12,-7
55,49,10
21,2,20
-50,32,23
-36,16,-31
0,-33,-18
-56,39,-3
-56,55,-8
36,34,-28
-45,-5,70
20,29,-45
13,-49,-33
-41,10,39
3,30,-51
75,2,-18
-61,-16,12
-7,-3,47
26,-18,-40
-53,14,-23
1,20,-19
24,-70,-57
-61,-5,17
-28,-42,34
58,-19,-19
-25,55,59
6,35,-5
88,-9,35
0,-53,-22
-42,1,34
-61,-32,40
-56,-32,-67
2,50,31
1,-5,53
37,-1,14
-21,-22,-6
41,-2,0
-6,-55,27
-41,-37,-33
37,17,19
-54,-66,-28
-11,2,12
55,42,35
-5,-58,-11
6,31,4
64,6,41
-9,-10,53
53,44,41
31,44,-27
11,-6,63
22,7,42
9,-6,-17
-29,-46,20
9,-19,-36
-36,-58,-67
52,61,30
44,-28,52
-30,-53,17
42,15,37
-6,-2,3
-38,-52,-43
52,-3,54
-26,-52,-20
-50,-36,-33
-42,-19,47
-2,-30,-24
-35,-15,14
-15,28,-2
-59,0,39
-62,-11,18
47,52,37
11,12,49
-45,17,9
-63,-55,-37
-6,4,-35
72,17,31
-58,18,-10
17,-7,37
32,42,7
-76,-38,-26
-16,50,22
14,57,1
19,39,64
-28,13,42
-17,-38,-26
31,20,61
4,-39,23
-47,-43,-51
48,28,3
39,2,-33
-10,-66,-61
-26,-48,24
-9,-9,52
5,-39,24
11,-43,48
-26,-76,-19
14,-58,7
22,3,45
41,-45,42
9,-3,12
25,22,56
48,-15,-28
-36,12,-60
50,14,9
57,9,9
-23,40,16
-41,-51,3
-70,-52,-37
-1,35,45
25,30,63
12,54,5
2,38,-41
-16,10,6
-5,-34,17
-12,-49,-79
6,53,32
-18,17,20
-45,-60,-54
-26,0,-8
-14,42,0
38,12,39
-51,26,54
-40,-44,5
16,13,37
-84,-21,-2
-1,32,50
-4,22,-31
-21,33,43
54,36,6
66,9,71
-37,-12,-43
-17,-38,22
52,-2,12
-56,-51,-58
-14,-21,26
-5,-10,-48
-36,8,-25
-66,-2,-27
-45,33,37
-27,-55,-61
-38,-2,-14
26,56,29
39,-25,-9
30,3,-8
57,73,32
-8,-1,23
-10,30,73
30,43,78
9,-43,29
-15,-18,-4
54,-31,12
-13,-51,-38
6,-56,-40
17,-34,-26
-55,-61,-21
24,46,12
28,42,47
-32,-52,-54
30,-27,-19
51,59,56
-57,-17,-29
-25,-11,-29
40,13,16
-29,-41,-35
-44,-25,-39
15,48,-24
-59,-3,-49
-3,10,-9
38,74,-15
-9,62,3
-32,26,0
22,52,-32
-2,42,-44
-24,30,-1
-13,12,79
39,-7,-48
-21,-13,-8
-32,37,29
20,4,-23
28,64,26
-65,-22,16
-44,55,34
-70,-31,-21
-21,61,-18
-43,40,46
-15,-3,-5
32,30,-41
44,46,1
-1,19,6
-22,-4,-44
51,-21,17
34,-16,-32
-8,-1,-22
117,25,-6
114,27,-10
17,-39,-18
47,30,-26
62,22,-7
-7,-62,-35
14,-2,-19
-29,-69,-40
-51,-24,34
-28,-73,-35
-3,-24,23
42,43,73
50,27,-30
46,21,28
2,9,11
31,-2,-22
-54,-71,18
-34,-48,55
39,43,26
-19,-43,47
21,-27,48
7,9,-69
6,19,2
64,-13,-19
-9,3,22
-65,28,43
-45,-11,42
-33,21,8
-34,24,-10
26,-26,32
62,8,-56
31,33,-55
63,-41,-30
77,31,-3
21,49,15
3,18,46
43,57,-3
-11,10,-26
-53,-45,-24
-6,-45,-71
-49,-27,5
-49,15,49
-49,-41,-27
0,-48,-2
79,14,52
-19,34,-24
-10,3,52
69,46,-12
-18,37,46
-13,-38,24
-10,-20,-50
19,-6,-3
47,25,47
5,35,61
59,-1,-11
-34,18,13
-48,24,33
52,-14,-18
-48,-6,-45
-52,-56,-54
72,41,5
34,-11,-14
65,-19,-22
14,14,-5
0,-40,-10
-11,-81,9
3,-32,-37
6,-81,-34
5,-127,-9
-69,-35,22
-60,9,-30
-23,-2,-44
-24,33,54
19,-2,50
41,22,32
-36,22,8
-41,-5,28
-7,0,28
35,-29,-59
3,0,17
7,-35,27
71,34,-16
4,-15,-9
-58,33,57
37,-22,-51
-50,43,-14
-73,-15,44
