# 152.91595065077175
-20,-26,-76,-9,-12,-19,0,-20,4,-43,-18,-12,-34,-4,16,42,-13,-26,-15,-23,23,16,-5,-21,-9,2,0,-8,1,-20,-8,24,5,0,4,-6,-38,-28,11,-29,-20,-12,-19,-14,43,0,-12,-13,-5,-7,-11,11,1,-4,-6,-7,-2,0,-45,-14,-3,80,-2,-34,-2,13,-2,-22,-27,-7,-23,2,8,-43,-16,-3,-20,-27,-39,-7,-7,-15,-45,-20,-18,-34,-14,0,-11,16,4,5,-12,0,20,-2,-12,-1,11,6,-19,22,34,7,32,23,0,-5,15,-21,-38,16,6,0,-14,-12,-4,-3,-23,-5,2,-2,10,-13,60,-16,-26,-24
-21,-26,-23,-14,-13,-11,-5,-23,24,-19,-23,-16,-14,-6,17,60,15,-16,4,-10,14,21,-21,-39,-5,-11,-21,-4,2,0,-31,23,12,-4,0,0,-20,-37,28,-49,0,-20,-21,-16,60,-14,-3,4,-14,20,-37,-8,0,-10,-12,-4,-17,-21,-17,-28,13,63,-9,-23,-18,-6,-14,-11,-16,-14,-33,2,5,-44,-5,-14,-16,-33,-20,-3,0,-14,-28,-16,-31,-23,11,6,-9,7,8,-6,-4,2,26,-16,-32,-17,22,6,-21,12,30,0,43,20,-1,-14,9,-5,-48,33,-16,30,0,-34,-14,-28,-13,-14,-21,-4,3,-23,74,-15,-29,-20
26,10,-38,0,-3,-6,28,4,-19,61,10,21,10,22,19,-61,-51,19,-11,-13,-34,0,17,28,40,37,27,38,-16,32,-29,-37,-16,13,7,33,29,16,-10,-11,19,5,23,14,-33,12,-10,36,36,1,28,28,5,0,3,23,16,15,2,-12,-26,-19,4,21,28,4,37,4,-2,12,3,13,7,12,-19,-8,17,21,21,24,28,7,-15,12,9,24,16,18,33,0,1,28,-10,3,9,8,0,9,7,-27,4,4,-12,12,-15,-18,-17,-7,5,0,-15,-52,5,-30,6,28,27,10,20,31,26,19,-10,-5,-9,22,-4,19
21,32,-18,-11,-6,34,-4,-15,-24,69,21,-25,35,-39,3,-41,-27,26,-22,-3,0,-40,-21,-3,-22,2,3,-22,-25,-12,-21,-46,-11,-37,-25,4,-17,21,-57,23,22,-9,-10,18,-46,-35,0,0,6,-51,32,-36,-29,-23,11,3,-6,-29,-22,27,-16,-34,-5,36,-24,3,5,-8,23,-21,24,-43,-18,16,3,-36,1,27,8,11,-9,34,-7,-4,20,28,-3,22,15,10,-4,-25,-5,-46,-30,-8,44,8,-28,-11,-35,-5,15,-8,-10,-44,-24,-5,-23,35,25,-29,22,4,1,-4,-28,-9,19,6,-34,6,-19,26,-35,-7,5,0
47,11,-10,17,-32,2,-15,18,-25,76,22,0,0,-2,47,-49,-74,7,-13,9,-34,-36,-9,13,23,-2,-30,-7,-1,-14,-24,-15,-15,-7,12,-15,-25,0,-15,26,-4,28,31,-18,-57,-2,1,-14,-26,1,18,5,-18,-4,-19,-37,30,5,7,-7,-9,-19,21,12,-22,19,-17,12,-16,-11,-6,-10,-6,3,-9,-22,-4,-10,0,-19,-31,-18,11,-16,-4,4,-17,-11,-7,-49,16,-36,6,-5,19,33,-12,24,-2,-6,1,1,-6,26,1,-19,-18,39,-2,-21,-18,-31,-15,11,11,-21,4,-38,-7,-19,8,-42,-25,-17,-21,-48,27,-9
25,-29,-41,29,-37,-12,12,16,-43,58,11,9,-16,14,37,-77,-63,-16,-11,1,-16,-31,1,34,35,10,-4,0,15,0,-6,-10,12,14,14,-11,-3,-17,0,10,-8,24,15,-35,-58,20,-10,21,-10,3,58,19,-8,-4,-41,-25,63,9,-16,-27,8,-24,13,-10,4,0,-14,15,-11,15,-6,1,-10,-17,-22,-10,21,-15,-1,0,1,-26,-12,-4,-23,-8,-16,0,-3,-29,-5,16,7,19,-5,35,-28,12,-1,9,13,14,0,20,0,0,-4,19,1,-28,-44,-45,-28,16,13,4,11,-31,-16,12,18,-30,-28,-20,-26,-44,16,6
-6,-21,-4,27,-15,0,0,41,-10,-19,-9,-10,-22,-7,-44,11,-1,-18,-6,-2,2,-16,1,-5,-2,-10,-9,-32,25,-10,14,3,20,11,1,-7,-19,-10,6,-8,-23,3,16,-24,-2,1,5,1,-17,5,-12,-4,-11,18,-16,-8,2,2,-13,-5,22,-16,13,-13,-10,-23,-21,37,-22,0,-6,-12,25,-20,-5,-4,-12,-8,-12,-24,-24,-13,-10,4,-12,-26,-4,-17,9,-19,13,-21,-8,15,20,30,-26,37,15,-3,7,15,19,21,13,8,2,16,2,-22,-18,3,-10,-3,21,-23,0,-16,-9,-31,7,-10,6,-8,3,-11,-2,-14
18,0,11,35,4,-24,17,25,2,-38,1,0,-18,-4,-4,21,21,-18,-14,-14,33,3,0,-11,-5,0,-4,-5,8,-25,13,-9,24,23,0,-7,-12,-20,12,-8,-5,12,5,-4,1,-4,8,-9,-10,16,6,5,-6,29,-5,-5,1,0,0,-8,36,17,22,-16,-24,-24,-2,27,-24,-2,-15,5,11,-8,-8,12,-15,-5,-8,-22,-12,-14,3,-8,-29,-28,-7,-23,-8,-11,3,-20,-8,-2,19,13,-27,20,11,19,21,20,14,26,15,26,13,25,-5,-1,-28,0,-14,-2,39,-21,7,-10,-15,-3,0,-14,9,-8,-8,-9,1,-4
16,-22,-3,23,0,-15,4,42,7,-8,-12,0,-32,21,2,3,2,-32,-18,-8,-34,18,16,-17,15,-13,16,-4,7,-11,-5,3,10,18,17,-24,-14,-24,5,-21,-16,13,4,-9,17,-5,-7,0,0,22,23,9,2,19,5,3,14,8,-4,-10,26,4,17,-28,-25,3,-9,18,-26,6,-10,14,29,-24,-1,21,-13,-24,-4,-25,-6,-20,-7,-11,-19,-16,2,-1,-4,-5,18,-16,4,8,21,25,-26,37,18,14,0,10,-4,12,20,22,7,17,15,-18,-33,1,-18,13,24,-2,17,-14,-23,-5,7,0,-4,-20,3,5,-17,-9
2,-13,9,46,-24,-23,-13,38,-10,-9,-20,1,-27,-16,21,22,20,-15,-4,-12,-5,-13,-16,-26,-8,-16,5,-38,19,-25,7,-10,7,-1,-11,-32,-24,-21,14,-22,-15,13,2,-4,7,-15,-13,-25,-30,2,10,-16,0,23,5,-20,0,-2,-28,2,22,9,36,-25,-36,-2,-34,33,-13,0,-12,-23,-7,-27,-12,4,-39,-28,-15,-15,-22,-10,-17,-6,-21,-25,1,-9,-17,-18,7,-35,-13,0,19,35,-23,41,15,13,-3,8,16,19,19,23,2,26,19,-13,-25,19,-6,32,16,-33,-2,-1,-17,-31,3,-2,4,-5,4,-8,-5,-3
-13,26,31,1,23,13,3,0,36,46,9,5,3,-2,-10,33,10,20,9,21,-124,4,-1,-22,-9,-13,-28,-18,21,-7,-31,7,2,4,-7,-7,-13,2,23,-19,15,8,-8,5,38,-1,9,-17,-7,-20,-34,-5,3,-28,21,24,-21,-22,22,20,8,20,-6,-6,-3,69,-11,-4,5,-1,-15,-15,-15,14,2,24,-17,5,23,12,-9,0,-17,-8,-2,13,13,13,-23,22,2,1,31,-12,17,14,7,13,13,22,-28,31,15,-3,-12,4,22,4,-2,32,-21,-21,-16,26,-12,-17,-18,28,10,-9,-9,32,-3,1,35,24,0,-7
-68,43,12,-47,50,52,4,-38,38,59,-18,-16,30,-8,-22,30,-9,26,13,-33,-81,4,-15,12,-20,13,20,7,-25,13,16,-43,-10,-10,-22,26,7,28,-39,11,41,-61,-6,47,70,-28,-5,-19,1,-35,-67,-13,-7,-30,35,47,-55,-26,33,39,-27,-21,-45,35,19,104,24,-43,40,-26,31,-2,-15,50,5,36,12,20,62,22,24,25,-10,25,42,24,25,40,6,62,4,-9,4,-14,-20,-49,55,-30,-4,-22,-19,3,15,-47,-15,-13,-25,-33,-42,47,19,-6,69,25,-51,15,-15,28,52,2,-9,42,20,46,8,34,-32,3
15,-4,3,19,17,-31,-6,20,20,51,-10,34,-16,16,-49,22,-24,-19,17,43,-113,-6,21,-15,3,-14,-39,-1,26,-30,-66,59,14,32,21,-4,-35,-1,40,-14,-36,9,45,-31,14,34,23,-14,-5,20,0,21,6,36,-5,13,-11,40,14,4,28,18,29,-10,-13,59,-13,22,-25,36,-14,33,30,2,-21,40,-10,-22,-7,-27,-19,-18,-18,-30,-22,-21,8,-26,-36,0,27,-18,52,32,34,13,-29,25,40,31,-3,37,16,17,19,20,48,19,15,-26,-45,-17,-30,52,14,-12,18,23,-4,-5,40,18,-10,-40,34,16,-4,-36
-17,22,-8,19,-9,7,-21,10,32,42,2,1,-19,-2,-17,19,-31,-8,29,2,-46,-2,12,-7,-23,-18,-8,-11,13,-20,9,0,24,-7,-6,-10,-23,-12,-8,9,-21,-12,-8,9,61,0,33,-17,-11,-9,-32,-7,10,-17,45,6,-48,3,-9,28,14,8,12,-17,-20,98,-12,0,-17,4,-7,4,-12,13,2,24,-10,-7,7,-19,-11,-1,8,-12,-16,4,6,-11,-7,30,15,-1,17,-5,-6,-4,16,6,16,-4,-30,12,27,12,7,0,23,3,-2,1,-28,17,42,77,11,-5,9,-14,0,2,9,8,24,-10,38,9,-13,0
-11,-9,13,21,32,-15,17,26,15,3,18,30,-32,34,-36,23,6,-24,-11,-1,7,28,23,0,21,18,12,-3,4,3,17,-7,1,36,32,-10,4,-26,-12,-17,-29,-24,20,-14,9,15,0,8,-17,18,28,23,21,26,-16,19,8,18,-5,-11,22,-19,4,-25,4,-4,1,4,-21,40,-5,21,41,-21,16,13,5,-14,7,-17,-15,-28,0,7,-27,-8,2,-1,-13,11,12,12,21,17,35,-5,-34,0,1,20,18,12,21,-9,25,6,-16,15,-15,-8,-35,31,-4,0,10,-5,37,29,-19,-1,21,26,-9,-23,0,27,13,-9
